productUrl,url,name,Description
https://s.click.aliexpress.com/e/_c3rAAnHV,https://ae-pic-a1.aliexpress-media.com/kf/HTB1UN0CasrrK1Rjy1zeq6xalFXak.jpg_480x480q75.jpg_.avif,Black Handbag,
https://s.click.aliexpress.com/e/_c3KlWgxN,https://ae-pic-a1.aliexpress-media.com/kf/S3106bb0dca9f499e855f003cf25a046bi.jpg_480x480q75.jpg_.avif,Leather Key Holder,
https://s.click.aliexpress.com/e/_c3lLIyXd,https://ae-pic-a1.aliexpress-media.com/kf/S30080df6d9f84f00bae5ea93cadcb85d9.jpg_480x480q75.jpg_.avif,Golden Knot Handle Handbag,
https://s.click.aliexpress.com/e/_c3Tpswon,https://ae-pic-a1.aliexpress-media.com/kf/S0e1ede9561f0442e8c73204de6cf6add1.jpg_480x480q75.jpg_.avif,RFID Passport Travel Wallet,
https://s.click.aliexpress.com/e/_c3NsXbar,https://ae-pic-a1.aliexpress-media.com/kf/Sa06d886491144ff597a3ab835a1243aaK.jpg_480x480q75.jpg_.avif,Lime Green Suede Handbag,
https://s.click.aliexpress.com/e/_c4owKH0T,https://ae-pic-a1.aliexpress-media.com/kf/S4097d8bd75b34c539e06ddb43133900eN.jpg_480x480q75.jpg_.avif,Suede Zippered Key Pouch,
https://s.click.aliexpress.com/e/_c3IRY9Xh,https://ae-pic-a1.aliexpress-media.com/kf/S5407a1bc3e9048c0b15c1d2f2daddf11x.jpg_480x480q75.jpg_.avif,Huntrix Graphic Handbag,
https://s.click.aliexpress.com/e/_c3uORk35,https://ae-pic-a1.aliexpress-media.com/kf/Sff49e1e204bb4e53bc4fbba58b57414aX.jpg_480x480q75.jpg_.avif,Gold Pleated Clutch Bag,
https://s.click.aliexpress.com/e/_c4N8EZGx,https://ae-pic-a1.aliexpress-media.com/kf/S5f121a179ed54af0a4846b87e6df8510s.jpg_480x480q75.jpg_.avif,Textured Crossbody Bag,
https://s.click.aliexpress.com/e/_c3Vf7Uth,https://ae-pic-a1.aliexpress-media.com/kf/S46e7fea5c9e84d22953aa3cd309f3e65d.jpg_480x480q75.jpg_.avif,Fanny Pack,
https://s.click.aliexpress.com/e/_c3Do66Z1,https://ae-pic-a1.aliexpress-media.com/kf/S0d48d5f2c2854846b957cd4292d5b4b85.jpg_480x480q75.jpg_.avif,Turquoise Fanny Pack,
https://s.click.aliexpress.com/e/_c3QCJzOB,https://ae-pic-a1.aliexpress-media.com/kf/S2e1697fea3f44a25b51106072a7bae26l.jpg_480x480q75.jpg_.avif,Round Straw Shoulder Bag,
https://s.click.aliexpress.com/e/_c3pMH6Uf,https://ae-pic-a1.aliexpress-media.com/kf/Sbdc7308670fb40bc83cf0378758d39573.jpg_480x480q75.jpg_.avif,Red Patent Clutch Wallet,
