url,productUrl,name,category,demographic,slot
https://ae-pic-a1.aliexpress-media.com/kf/HTB1UN0CasrrK1Rjy1zeq6xalFXak.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3rAAnHV,Black Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S3106bb0dca9f499e855f003cf25a046bi.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3KlWgxN,Leather Key Holder,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S30080df6d9f84f00bae5ea93cadcb85d9.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3lLIyXd,Golden Knot Handle Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S0e1ede9561f0442e8c73204de6cf6add1.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3Tpswon,RFID Passport Travel Wallet,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sa06d886491144ff597a3ab835a1243aaK.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3NsXbar,Lime Green Suede Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S4097d8bd75b34c539e06ddb43133900eN.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4owKH0T,Suede Zippered Key Pouch,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S5407a1bc3e9048c0b15c1d2f2daddf11x.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3IRY9Xh,Huntrix Graphic Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sff49e1e204bb4e53bc4fbba58b57414aX.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3uORk35,Gold Pleated Clutch Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S5f121a179ed54af0a4846b87e6df8510s.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4N8EZGx,Textured Crossbody Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S46e7fea5c9e84d22953aa3cd309f3e65d.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3Vf7Uth,Fanny Pack,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S0d48d5f2c2854846b957cd4292d5b4b85.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3Do66Z1,Turquoise Fanny Pack,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S2e1697fea3f44a25b51106072a7bae26l.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3QCJzOB,Round Straw Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sbdc7308670fb40bc83cf0378758d39573.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3pMH6Uf,Red Patent Clutch Wallet,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S508cc2bb57a14c34a175345e0c85b630A.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3aQuFu7,Cartoon Wallet,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sed7c3a0c7d0d4d63b3148f844181ac42g.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3tG6rT1,Brown Suede Top Handle Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S4666b88856ef43a2ba08e615539d8c6bF.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3X2rYlv,Canvas Tote Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S636fd1932e8f42a8bc0724e2cbcec91fP.png_480x480.png_.avif,https://s.click.aliexpress.com/e/_c3N21tvN,Beige Suede Top Handle Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/H028f472c4efe4c81a948e4a82d69257eW.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3Yl2sAb,Black Tote Handbag with Cat Charm,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S38658ef85e714c2194fad3eb6fc2849dK.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3mY4MIT,White Flap Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/See0cfacb21a14c10bcaa6e740eb85c6ay.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c43K9P6B,Brown Leather Coin Purse,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S59b7439623124da8847a88006f43d0a9s.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3uP7DfZ,Black Lotus Embossed Crossbody Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S3401f288f8dd4edfac196cf256673c01w.png_480x480.png_.avif,https://s.click.aliexpress.com/e/_c4O5OOO7,Reusable Tropical Leaf Shopping Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S0419b4ec2427465db88b61c6f6e12483E.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4BP82jH,Black Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S83d8713e59fb4ae48909449ecef2b829D.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4pKlbWf,Black Crossbody Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sd4d82b4ba14b479b9e6d827aa24b016aR.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c2vk5Sj9,Personalized Snap Closure Coin Purse,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sad7e906fe667439aba00e81d0d95b80eh.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4Xn8Rnv,Red Crossbody Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S808f8794eed94fb99474e542aee51cd30.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c43JdU8X,Woven Handle Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S71fae29f9b544d0f891a9af4a9a3404eH.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3RmTJEr,Beige Casual Tote Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sb257c6e773a24ba89491de2f9430cd8bz.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3uB4X4b,Brown Suede Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sbf2ebb01276e4b2c9fedd1a670d9257dq.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4OhGT1l,Striped Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S8b701ea55b28430dab21ade4c601f8825.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3EqqU5h,Beige Corduroy Fanny Pack,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sb8b3cde4dfeb4915bef964c0a7e4e2ecD.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3c3L3pd,Black Chain Strap Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S3a42f603b6b74887a940a6c7c046e617D.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4nwGUxl,Pink Crossbody Phone Wallet Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S63e4d61acfbe44f0a734582199a2c820A.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3BXgVML,Black Triangle Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sa60e7cb99541474fb558a10f2dd1c0a5j.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3whCUnd,Teal Fanny Pack,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sf5bfad1e73924fff9ae27a564ff18335f.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4B7JTbZ,Corduroy Tote Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S4bbc48f5fed34457bf968afdf383bdb8N.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3Vb8n8j,Brown Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S96d4ceffcca54fe099b42c76cd9666a7D.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c32S1UoR,Monogram Saddle Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Saccad6a3aa394915b4824328a28ef4e43.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3fyNm1t,Corduroy Tote Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S5f23789d948d44c3aad0ae553193bf5dz.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3MsyU3z,Canvas Mini Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Se9f02aa855364049adbf5824e8fe2ae6I.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c34ZlHU3,Minimalist Card & Key Pouch,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Saa612f69beb84db2b396a8ba6639b959d.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3NN2TdV,Maroon Leather Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Se2bbfd3791d44dc68b581550a20e196f8.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c36O9jlN,Double Zipper Card Wallet,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sbfaebe6485ce4c1588aa5f183755d0a4Q.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4EbQPU3,Leather Card Holders,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Sd244e19aeaeb4b96965cf81cee89b5e6U.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c430DF47,Brown Suede Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S4dc5018ec758471f8f054c7623039b36a.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3HtOiab,Patterned Fanny Pack,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S9dd76142eba24a519732f29f52a94a8ft.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3olgSYR,Floral Crossbody Phone Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S2be2abd35f134ca89420de9ca81cd0c0d.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c4FC4O5v,Brown Patterned Tote Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Hf458cdcc44534eb1b9d8c80f684eebb3B.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3gOp2QT,Black and Gold Handbag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/S2dbcdbebe3644ea18e6fc86f0ddfdd11W.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c3Wb202F,Lime Green Woven Shoulder Bag,Bags,Women,accessory
https://ae-pic-a1.aliexpress-media.com/kf/Se3d833372c4e4d25895ce8ccae6cfa265.jpg_480x480q75.jpg_.avif,https://s.click.aliexpress.com/e/_c2J3oYhv,Black Fanny Pack,Bags,Women,accessory
